body,title,url
  Latam Airlines con aval para reorganización en Colombia ,,https://www.elcolombiano.com/negocios/economia
"    Momentos de tensión vivieron los habitantes del municipio de Corinto, luego de la activación de una motocicleta cargada con explosivos en uno de los accesos viales de esta población del norte del Cauca. De acuerdo con la versión de algunos pobladores, el atentado sucedió a eso de las 9:00 de la noche de este viernes, cuando activaron la carga explosiva al paso de una patrulla que precisamente velaba por la seguridad de esta localidad. “Estamos muertos del susto, eso sonó en todo el pueblo, veíamos...    "," Detonan motobomba en Corinto, Cauca ",https://www.elcolombiano.com/colombia/en-cauca-detonan-motobomba-en-corinto-JF13166528
"    Para promover el acceso a créditos en condiciones financieras favorables, a los transportadores independientes, ya sean personas naturales y jurídicas, el Ministerio de Transporte suscribió un convenio con el Banco de Desarrollo Empresarial de Colombia (Bancóldex), para poder mitigar el efecto económico ocasionado por la pandemia de la covid-19. En un comunicado la cartera indicó que se trata de la línea de crédito preferencial Transporte Responde por 95.000 millones de pesos, los cuales podrán ser...    ", Gobierno lanza línea de crédito para transporte ,https://www.elcolombiano.com/negocios/empresas/creditos-para-los-transportadores-colombianos-MF13165823
"     Un decreto con todas las medidas que deben tomar los principales actores del fútbol colombiano se expedirá para que gradualmente se pueda reactivar la Liga. Así lo confirmó ayer el ministro de Salud, Fernando Ruiz, quien aseguró que la documentación ya estaba en orden, y solo restaba que la ministra del Interior, Alicia Arango Olmos, lo firmara.  “Los protocolos están listos, estamos esperando porque hay un tema de prohibición de canchas. Creo que hoy (ayer) estará surgiendo el decreto por parte del...    "," Reactivación de prácticas en el fútbol, pendiente de una firma ",https://www.elcolombiano.com/deportes/futbol/reactivacion-de-practicas-en-el-futbol-pendiente-de-una-firma-MF13165328
"     Así como las relaciones sociales y el comportamiento en espacios públicos, el deporte tendrá que adaptarse a la “nueva normalidad” que llega tras la pandemia si pretende reactivarse. Es por eso que algunas disciplinas han optado por modificar sus reglamentos o acciones de juego para darles la oportunidad a los atletas de volver a entrenar y competir.  El caso más relevante es el del fútbol, en el que la Fifa aprobó, entre otras, la sustitución de hasta cinco jugadores por equipo en un partido, y la...    ", Deportes también se reinventan ,https://www.elcolombiano.com/deportes/otros-deportes/deportes-que-se-reinventan-despues-de-la-pandemia-del-coronavirus-HF13163730
  Latam Airlines con aval para reorganización en Colombia ,,https://www.elcolombiano.com/negocios
  Latam Airlines con aval para reorganización en Colombia ,,https://www.elcolombiano.com/antioquia
  Latam Airlines con aval para reorganización en Colombia ,,https://www.elcolombiano.com/negocios/empresas
"    Desde el 12 de marzo, cuando se declaró la emergencia sanitaria en Colombia, han pasado tres meses y las ayudas siguen llegando y divulgándose desde diferentes aristas. Adultos mayores, la capacitación médica para enfrentar la covid, e incluso, una plataforma para proveer conectividad para quienes más lo necesitan son contemplados.  También, llegaron tres toneladas de desinfectantes de Bycsa, que fueron donadas para la limpieza profunda de la Minorista, tras el brote del pasado mes de abril, bajo...    ", El compromiso social es de todos ,https://www.elcolombiano.com/coronavirus-buenas-noticias-en-colombia-y-antioquia/donaciones-de-boydor-postobon-bycsa-y-claro-DF13164263
"    Al cierre de la segunda semana de haberse reanudado las actividades en los grandes centros comerciales del Valle de Aburrá, el proceso es de aprendizaje y ajuste tanto para los empresarios como para los consumidores. Irma González, gerente de Puerta del Norte en Niquía, en el municipio de Bello, comentó que esta es una etapa en la que ha sido necesario explicarles a los comerciantes y a los clientes que deben cumplirse con rigor los protocolos de bioseguridad, que aunque no son complicados obedecen...    "," Aprender, desafío del comercio ",https://www.elcolombiano.com/negocios/aprender-desafio-del-comercio-PF13164975
"     La filial de energía del Grupo Argos, Celsia, se prepara para presentar el próximo miércoles, 17 de junio, su apuesta de movilidad urbana Muverang, un sistema compartido de transporte eléctrico que “busca crear comunidades de empresas comprometidas con el medio ambiente y el país para ayudarles a resolver de una manera sostenible, segura y eficiente los desplazamientos de sus colaboradores”. A finales de marzo tras la asamblea de accionistas, el presidente de Celsia, Ricardo Sierra, anticipó que en...    ", Muverang es la nueva movida de Celsia ,https://www.elcolombiano.com/negocios/muverang-la-proxima-movida-de-celsia-AF13164949
"    La contingencia sigue dejando cifras históricas y esta vez fue el turno de las industrias manufactureras, puesto que vieron una disminución en su producción, para abril, de 35,8 % en el país, la más alta registrada desde enero de 1991, de acuerdo con el Departamento Administrativo Nacional de Estadística (Dane). Los datos de Antioquia son aún más bajos, puesto que la variación de la producción fue de -44,8 %. Esto llevó a que en el departamento se viera una caída de 43,3 % en las ventas de este sector...    "," Antioquia, la que más restó en la producción nacional durante abril ",https://www.elcolombiano.com/negocios/economia/produccion-en-antioquia-la-que-mas-influyo-en-la-caida-de-abril-AF13164703
