body,title,url
"
Las fuertes lluvias en el sur de Florida han ocasionado que decenas de sapos de caña, mejor conocidos como sapos gigantes, abandonen sus madrigueras e invadan las calles de la ciudad, poniendo en riesgo a las mascotas por su alto nivel de toxicidad.
Por lo general, los sapos de caña habitan en los cientos de lagos y canales artificiales distribuidos al sur de Florida, pero esta temporada de lluvias han comenzado a salir de sus sitios en busca de un mejor refugio, un hecho considerado insólito entre los habitantes.
Aunque resultan inofensivos para los humanos, pueden ser mortales para los animales domésticos que al morderlos o lamerlos pueden ingerir una toxina venenosa que les provocará convulsiones, pérdida de coordinación y finalmente un paro cardíaco.
También lee: Reportan ""invasión"" de sapos venenosos en comunidad de Florida
Esto, debido a que los ejemplares de (Rhinella marina), que pueden alcanzar hasta los 22 centímetros de altura, tienen glándulas triangulares detrás de sus ojos que producen una toxina blanca lechosa, altamente venenosa para el mejor amigo del hombre.
La situación ha generado revuelo entre los habitantes de Florida, pues de cumplirse el pronóstico de los expertos, el verano en la región terminará por ser más húmedo de lo habitual incrementando las posibilidades de sobrevivir de esta especie y, por tanto, su población.
También lee: Los sapos detectan lluvia a través de sus oídos
""Mientras haya agua para reproducirse, los sapos de caña prosperarán. Estarán en la superficie de la tierra, alimentándose y reproduciéndose. Probablemente la gente los vea ahora de una manera más frecuente que antes"", explicó William Kern, profesor asociado de la Universidad de Florida.
Además, añadió, los sapos de caña pueden alterar el ecosistema porque no tienen depredadores naturales y comen casi cualquier cosa: insectos, lagartijas, serpientes, huevos de aves, pequeños mamíferos e incluso ranas más pequeñas, con quienes compiten por áreas de alimentación y reproducción.
La Rhinella marina es originaria de América Central y partes de América del Sur, pero fue introducida en el sur de Florida en la década de 1930 de manera deliberada, debido a que los agricultores creían que controlarían las plagas y beneficiarían sus cultivos al devorar los escarabajos que comían la caña.
Sin embargo, su plan fracasó porque los anfibios no fueron capaces de saltar de alcanzar estos insectos que suelen vivir en las partes superiores de las plantas.
lsm/hm
 
",Alertan por invasión de sapos gigantes y tóxicos al sur de Florida,http://www.eluniversal.com.mx/mundo/alertan-por-invasion-de-sapos-gigantes-y-toxicos-al-sur-de-florida
" 0 % PULSO SOCIAL0 María Félix fue una diva; una mujer talentosa, bella, con un gran porte y elegancia que, sin lugar a dudas, robaba las miradas en cualquier lugar en el que se presentara. Pero también fue una de las actrices más engreídas de su época, al menos así lo señala Silvia Pinal y aquí en De10.mx te contamos los detalles…
Hace unos días, Silvia Pinal reveló que ella fue víctima de uno de los desplantes de “La Doña”, pues la corrió de una fiesta. La reunión había sido organizada por Enrique Álvarez Félix, hijo de María.

 
 
 

Ver esta publicación en Instagram

Una publicación compartida de MARÍA FÉLIX (@mariafelix_oficial) el 10 Feb, 2018 a las 8:10 PST


 
Enrique y Silvia se querían mucho y él le pidió que fuera a la fiesta en su departamento, le dijo: “va a venir mi mamá, ¿quieres venir?”. Obviamente Silvia no podía perderse la oportunidad de conocer a una de las más grandes divas del cine mexicano y asistió a la reunión.
Cuando Silvia Pinal llegó a la fiesta, María Félix ya se encontraba en el lugar. Silvia se le plantó de frente y señala que no podía dejar de mirarla. La situación incomodó a “La Doña”, quien sÓlo dijo “bueno niña, ya me viste, ahora ya vete”.
María Félix y la difícil relación con su único hijo Enrique
Silvia Pinal también reveló que la belleza de María Félix era solamente exterior, pues en realidad era una persona grosera y majadera.

 
 
 

Ver esta publicación en Instagram

Una publicación compartida de Silvia pinal (@silviapinalmx) el 10 Mar, 2020 a las 11:03 PDT


 
Con información de show.news
VIDEO:


",,https://de10.com.mx/top-10/el-dia-que-maria-felix-corrio-silvia-pinal-de-una-fiesta
"
En esta cuarentena hemos aprendido que la comodidad es clave para mantenernos cuerdas, cuando las prendas clave eran unas zapatillas o unos jeans ajustados, seguro sufríamos después de algunas cuantas horas debido a la incomodidad. Pero hoy, hemos cambiado de percepción y las prendas cómodas son nuestro día a día: chándales, zapatos bajos y sudaderas se han vuelto nuestros looks principales y nos encanta porque nos muestra una visión de la moda más relajada y donde podemos sentirnos bien y por lo tanto, vernos bien.
Y parte de la nueva manera de ver la moda es también ver a nuestras famosas favoritas lucir de lo más natural del mundo, logrando algo espectacular y diciéndonos que ser natural está bien y eso nos llevará a consumir mejores prendas y mejores tendencias. Por ello, cuando vimos  Kylie Jenner en pijama nos encantó. Pues fue a través de redes sociales que vimos a la socialité disfrutar un tiempo de calidad con su hija Stormi. Ahí está usando una bata de satén de Versace y unas pantuflas de Louis Vuitton.

Leer también: Forbes dice que Kylie Jenner no es multimillonaria


Las pantunflas de Kylie Jenner
Sin embargo, lo que más nos llamó la atención no fueron los increíbles abrazos de madre ni su increíble mansión, sino el calzado que la empresaria lleva en esa foto, pues están valuados en 1500 dólares, lo que equivale a cerca los 35 mil pesos mexicanos. Estas pantuflas de piel de Mink (uy, Kylie usando piel animal,¿eh?) son tan lujosas que la empresa en su página web expone lo siguiente: La mula plana LV Suite está confeccionada con lujosas pieles de visón impresas con el icónico patrón Monogram de Louis Vuitton. Esta zapatilla de casa sin cordones también está completamente forrada con visón para una sensación maravillosamente suave y liviana. Este modelo en color beige viene en una bolsa de terciopelo”.

Leer también: CEO de Kylie Cosmetics renuncia por supuesta polémica con Forbes
No cabe duda que para la comodidad no hay nada que el lujo y esta foto lo comprueba. Mientras, nosotras disfrutamos de nuestra casa con nuestros Crocs con unos calcetines calientitos para que no sintamos fríos.
¿Qué opinas?
 
",Kylie Jenner presume unas pantuflas de 30 mil pesos ,http://www.eluniversal.com.mx/de-ultima/kylie-jenner-presume-unas-pantuflas-louis-vuitton-de-30-mil-pesos
"
""Señor presidente, no quede usted como la persona que le dio en la madre a México"", le dice Facundo al presidente Andrés Manuel López Obrador a través de un video compartido en su su cuenta de Twitter.
El conductor cuestiona al mandatario sobre la reducción del 75% del presupuesto a la Comisión Nacional de Áreas Naturales Protegidas (CONANP), y llama a la población a unirse en contra de esta decisión.
“Si usted dice que es tan patriota, no entiendo por qué le está quitando el 75% del presupuesto a la Comisión Nacional de Áreas Naturales Protegidas, ¿qué no es lo único que nos queda como para seguir cuidando a nuestro país? ¿apoco es tan necesario quitarle dinero a una comisión que se encarga de cuidar lo más chingón que tenemos que es nuestra biodiversidad para tener dinero para dárselo a los ninis o para tirar a la basura mega construcciones y volverlas a empezar o quizás para hacer el Tren Maya que se prometía que también iba a cuidar a la naturaleza”, expresa el comediante en la primera parte del su mensaje.
""Usted presidente va a durar quizás 80 años en esta tierra, pero los seis años que está de presidente, van a quedar marcados como el año que le dio en la madre a nuestra biodiversidad"", expresa Facundo.
Finalmente, reconoce que muchas veces no vale la pena pelar por ciertas decisiones, sin embargo, esta vez, considera que es necesario, pues se trata de la naturaleza.

 

Facundo envía mensaje a #AMLO; llama a protestar por la reducción de presupuesto a la @CONANP_mx
 ""Señor presidente no quede usted como la persona que le dio en la madre a México"" señaló @facufacundo, tras asegurar que la CONANP se quedará sin el 75% de su presupuesto. pic.twitter.com/LEe3p4YYAT
 — Oaxaca Político (@OaxacaPolitico) June 9, 2020

""Neta no podemos ser indiferentes ante esta decisión, yo creo que hay cosas que igual no valen la pena pelearlas, pero me parece que pelear por nuestra naturaleza es lo único que podemos hacer como seres humanos"".
El mensaje final que Facundo envía a AMLO, es:
""Señor presidente, no quede usted como la persona que le dio en la madre a México"".
El video del conductor dividió opiniones en Twitter, pues aunque muchos coincidieron con su mensaje, otros cibernautas cuestionaron cuánto dinero habría cobrado por este tweet, recordando lo que él mismo dijo en 2017, cuando el Partido Verde le ofreció 2 mdp por tuitear.
El conductor se refirió entonces al proceso electoral de 2015, cuando la Fepade abrió una investigación contra personalidades del espectáculo y el deporte por publicar tuits con fines electorales. 

 



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



@lopezobrador

Una publicación compartida por  Facundo Gomez (@facufacundo) el 9 de Jun de 2020 a las 7:25 PDT




rad

 
",Facundo envía mensaje a AMLO sobre reducción de presupuesto a la CONANP,http://www.eluniversal.com.mx/espectaculos/facundo-envia-mensaje-amlo-sobre-la-conanp
" 0 % PULSO SOCIAL0 En los últimos meses, un puñado de países han puesto a trabajar a sus mejores científicos en busca de una vacuna contra el coronavirus. De lograrlo, la pandemia podría quedar en el pasado rápidamente y la “normalidad” regresaría a nuestras vidas. 
Sin embargo, encontrar una vacuna para el Covid-19 no sólo es difícil… incluso podría ser imposible. A pesar de que la ciencia avanza cada día, aún existen virus que no tienen una vacuna y con los que hemos tenido que aprender a vivir.
En De10.mx te presentamos 4 virus tan mortales como el coronavirus a los que simplemente no se les ha podido descifrar para hallar una vacuna que los combata.
1. VIH
Hace 30 años se logró aislar el VIH, responsable del síndrome de inmunodeficiencia adquirida (sida). Aún así, este virus ha causado la muerte de 32 millones de personas, de acuerdo con la OMS.
Durante años fue considerado como un estigma más sobre la comunidad homosexual e hizo que el mundo modificara sus háboitos sexuales, al ser la principal vía de contagio de la enfermedad.
Aún no existe vacuna para el VIH, aunque se han desarollado más métodos de prevención del contagio y tratamientos que permiten a los infectados llevar una vida normal. También se estudia la posibilidad de curar este padecimiento usando células madre.
2. Gripe aviar
A finales de los noventa, dos cepas de gripe aviar provocaron varias muertes. Estos virus son transmitidos entre las aves y pasan a los humanos a través de contacto directo con los animales o sus heces.
En 1997 un brote de esta enfermedad obligó a las autoridades de Hong Kong a sacrificar a todos los pollos de su territorio. Desde entonces se han dado casos en África, Asia y Europa, con una tasa de letalidad en humanos de 60%
En 2013 se detectó una nueva cepa, la H7N9, que resultó en varios casos de contagio en China. Hasta 2017 se habían dado 1,565 pacientes con esta enfermedad, de los cuales falleció el 39%.
10 imágenes de microscopio de cómo luce el coronavirus realmente

Foto: Gerd Altmann en Pixabay 
3. SARS
El SARS-CoV es un tipo de coronavirus que fue detectado inicialmente en 2003, en China. Provocó una epidemia de síndrome respiratorio agudo grave (SARS, por sus siglas en inglés) que se extendió en 26 países con más de 8 mil casos.
El principal foco de contagio se dio en centros sanitarios donde no se habían tomado precauciones necesarias para prevenir su transmisión. Una vez que se identificó esta situación y se modificaron los protocolos, los brotes bajaron significativamente.
Para el final de la epidemia, habían registrado más de 8,400 casos y 916 muertes, con una tasa de letalidad del 11%.
4. MERS
El MERS-CoV es un tipo de coronavirus detectado por primera vez en 2012. Es el causante del síndrome respiratorio de Oriente Medio (MERS, por sus siglas en inglés).
Hasta noviembre de 2019 se habían producido 2,494 casos, de los cuuáles hubo 858 fallecidos, demostrando la gran mortalidad de este virus. Fue derectado incialmente en Arabia Saudita, pero se han dado casos en 27 países.
Tanto en el MERS como en el SARS, una vez que se logró “controlar” la epidemia, se suspendieron las pruebas para el desarrollo de vacunas.
 
Con información de BBC
TARJETA:

 
 
 

Ver esta publicación en Instagram

Una publicación compartida de De10.mx (@de10mx) el 29 May, 2020 a las 11:00 PDT


 ",,https://de10.com.mx/vivir-bien/4-virus-mortales-para-los-que-no-existe-vacuna
"
Galilea Montijo dice que nunca aceptará un chantaje de nadie y menos que traten de estafarla, por ello ante la amenaza de alguien que dice tener fotos de ella desnuda de alguna sesión que pudo hacer cuando era adolescente, la conductora niega que sea ella la de las fotos y afirmó que emprenderá acciones legales contra el chantajeador.
Galilea utilizó su espacio en el matutino “Hoy” para hablar del chantaje que le quieren hacer e incluso mostró algunas de las imágenes con las que la amenzan.
“Esas fotos son de otra señora a la que se le ve una cicatriz de cesárea a la señora  y si hacemos un poco un acercamiento se puede ver el photoshop por que mi lunar está en la parte del cuello y al hacer el photoshop ellos lo ponen en otro lado, entre otras cosas, como la medida del brazo, a la la mujer se le ve mas grueso y yo toda la vida he tenido los brazos muy delgados”, apuntó Montijo.
La conductora explicó que quien la chantajea le pide dinero a cambio de no revelar las fotos, pues de los contrario las venderá a revistas con quienes ya está teniendo platicas.
“Es increible que exista gente que tenga esta maldad y que todavía pide dinero, este señor dice que tiene mucho material y que tiene juntas con revistas y estaba esperando mi respuesta de si yo se las compraba y sino se las vendía a las revistas , yo solo les digo a las revistas que si quieren comprarlas, están comprando un material completamente falso”, dijo.
Detalló que ya inició acciones legales contra quien resulte responsable de esta extorsión, además explicó que es imposible que la de las fotos sean de ella ya que a la edad que dicen que se tomó esas fotos ella ya se encontraba trabajando en la Ciudad de México y no en Guadalajara como dice el personaje que la amenaza.



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



Con tristeza les informo que soy víctima de un chantaje relacionado con unas supuestas fotografías de desnudo mías. Al igual que le ha ocurrido a muchas otras mujeres, se usaron fotografías de desnudos en las que a través de un proceso de edición, suplantaron mi identidad con el fin de obtener dinero a cambio de no hacerlas públicas. En materia legal, ya he puesto la denuncia ante la autoridad competente en contra de quien o quienes resulten responsables de este intento de extorsión. Sin embargo, eso no es lo más importante en este caso ni la razón por la que lo hago público. Me dirijo a ustedes, sobre todo porque creo que en un contexto en el que cada vez se levantan más voces de mujeres valientes que luchan contra la violencia de género, es mi deber unirme a ellas y no callar. No me avergonzaría aceptar fotografías mías de desnudo en caso de que las hubiera. Estoy orgullosa de quien soy y de mi cuerpo, así como de las cicatrices que las diversas experiencias de mi vida hubieran podido dejar en él. Entre ellas la de la dicha de ser madre. A pesar de toda la lucha que las mujeres hemos dado en materia de igualdad de género, siguen habiendo trincheras machistas desde las que se nos busca lastimar y cosificar. Esta denuncia pública es sólo uno de los muchos casos que existen. Mientras millones de mujeres alrededor del mundo estamos alzando la voz, este cobarde chantaje que atenta contra mi dignidad, se escuda en el anonimato que brindan las redes sociales y las nuevas tecnologías. Ya basta. Siempre he trabajado honradamente y me cuesta mucho aceptar que haya gente vil que, con una ambición desmedida y falta de corazón que busque dañarme a mí, a mi familia y a mi carrera. Gracias siempre por su cariño y apoyo 

Una publicación compartida por  GalileaMontijo (@galileamontijo) el 9 de Jun de 2020 a las 2:21 PDT



Además, recordó que esta no es la primera vez que han querido extorsionarla y que ni antes ni ahora se prestara al chantaje.
“A este señor le digo que yo no me presto  a este tipo de cosas, yo soy una mujer que desde los 14 años trabajó para sacar adelante a mi familia, así que ¿usted le tomó las fotos a una niña de 14, 15 o 16 años, a una menor de edad?,  por que yo a los 18 años ya estaba en la Ciudad de México y tengo como comprobarlo. Le pido a la revistas que revisen el material si gustan y hay detalles físicos con los que se pueden dar cuenta que no soy yo. Hoy en día es muy fácil ponerle la cara al cuerpo de alguien , ya en otras ocasiones demostré que yo no era la del video pornográfico”, añadió Galilea.



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



A través de su agencia, nuestra conductora se enteró que una persona esta tratando de extorsionarla con unas imágenes; esta mañana, en vivo, expuso el fotomontaje que le hicieron con el cuerpo de otra persona

Una publicación compartida por  HOY (@programahoy) el 9 de Jun de 2020 a las 9:10 PDT




rad
",Galilea Montijo revela extorsión por supuestas fotos desnuda,http://www.eluniversal.com.mx/espectaculos/farandula/galilea-montijo-revela-extorsion-por-supuestas-fotos-desnuda
"
La 64 Legislatura del Congreso de Oaxaca aprobó aplazar el inicio del proceso electoral ordinario para elegir diputados y concejales a los ayuntamientos que se rigen electoralmente por partidos políticos hasta los primeros cinco días de diciembre de 2020.

Originalmente, el proceso electoral iniciaría en septiembre de este año. La iniciativa aprobada por los legisladores locales establece, por única ocasión, que éste iniciará hasta finales del 2020, como medida a causa de la pandemia por Covid-19 —que hasta el momento en la entidad ha dejado mil 512 contagios y 164 muertes.

Los diputados consideraron necesaria esta prórroga ante la situación imprevista y extraordinaria del contexto de pandemia que estamos viviendo, así como de las contingencias por desastres naturales en el segundo semestre del ejercicio, “situaciones que son hechos notorios que no necesitan de prueba”.

“Lo razonable es modificar el artículo séptimo transitorio del decreto número 633, aprobado el 1 junio del 2017 por la 63 Legislatura Constitucional del Estado Libre y Soberano de Oaxaca, y publicado con fecha 3 de junio de 2017 en el Periódico Oficial del Gobierno del Estado de Oaxaca, por el que se crea la Ley de Instituciones y Procedimientos Electorales del Estado de Oaxaca, en el sentido de que por esta única vez el proceso electoral dará inicio en los primeros cinco días del mes de diciembre del año 2020”, se expresa en la iniciativa.

De acuerdo con este documento, indicaron que al tratarse de una elección intermedia para elegir legisladores al Congreso del estado y concejales a los ayuntamientos, al iniciar el proceso electoral en los primeros días de diciembre no se pondrían en riesgo las diferentes etapas del proceso electoral, sobre todo la jornada electoral.

Y mencionaron que por esta razón el Instituto Estatal Electoral y de Participación Ciudadana de Oaxaca (IEEPCO) estaría a tiempo de establecer los topes de precampañas, y podría garantizar que los procedimientos internos de los partidos políticos, en éstas así como en la elección de candidatos, se realicen sin contratiempos y en condiciones de equidad. Asimismo, se estarían garantizando los procedimientos para que los candidatos independientes obtengan el respaldo popular.

“Estamos conscientes que el cambio de fecha de inicio del proceso electoral por tres meses va a obligar al IEEPCO a modificar y hacer ajustes a su calendario integral electoral”, explican.

Sin embargo, advierten que debido a que todos los procesos electorales se instrumentan en un escenario de incertidumbre, siempre ha existido una disposición expresa que faculta al Consejo General del IEEPCO a hacer estas modificaciones y ajustes de manera válida y legal; como en efecto lo ha hecho en casi todos los procesos electorales.
","Por pandemia, Congreso de Oaxaca aplaza hasta diciembre inicio del proceso electoral intermedio ",https://oaxaca.eluniversal.com.mx/politica/02-06-2020/por-pandemia-congreso-de-oaxaca-aplaza-hasta-diciembre-inicio-del-proceso
"Esmeralda era policía municipal de Ecatepec y fue asesinada a balazos cuando salía de su casa, en el municipio de Tlalnepantla en el Estado de México. La agente estaba de incapacidad porque hace 15 días intentaron matarla. 
Ayer, la mujer de 28 años salió de su casa en Alpino Glaciar, en la colonia Lázaro Cárdenas. Apenas pisaba la calle cuando le dispararon.
Fueron las detonaciones las que alertaron a sus familiares. Ellos salieron del domicilio para indagar qué había ocurrido.
Ahí en las puertas de la casa hallaron a la mujer ensangrentada. Ellos llamaron a los paramédicos para que ayudaran a la policía. Al llegar al sitio, los rescatistas indicaron que ella había muerto. Los disparos que recibió en el cuello, abdomen y brazos, le provocaron la muerte.
Ante los agentes que atendieron el caso, los testigos del homicidio indicaron que la mujer fue atacada por un hombre que huyó del lugar a pie.
Después de ser identificado, el cuerpo de la mujer fue trasladado al anfiteatro de la agencia ministerial en donde se espera que sea reclamado por su familia.
",,https://www.elgrafico.mx/la-roja/asesinan-mujer-policia-en-su-casa-en-tlalnepantla-hace-15-dias-intentaron-matarla
"
Nueva Zelanda recupera desde este martes la normalidad tras, según el gobierno, eliminar el coronavirus de la COVID-19 dentro de sus fronteras y con una gestión de la pandemia efectiva y temprana, que solo ha causado 22 muertos.

""Tenemos la confianza de haber eliminado la transmisión local del virus en Nueva Zelanda"", dijo el director general de la Sanidad neozelandesa, Ashley Bloomfield, en una rueda de prensa en Wellington, al recalcar que su país lleva 18 días consecutivos sin ningún nuevo caso de COVID-19.

Mientras Europa comienza a abrirse tras esta pandemia sin haber derrotado al coronavirus- que ha infectado a más de 7 millones de personas en el planeta, incluyendo a más de 400,000 muertos, Nueva Zelanda lo hace con un país libre de COVID-19.

Al enterarse el lunes de que Nueva Zelanda ya no tenía casos activos entre sus 5 millones de habitantes, la primera ministra laborista, Jancinda Ardern, contó a periodistas que hizo ""una pequeña danza"" con su hija Nee de dos años en el salón de su casa.
 


También lee. ¿Los calvos tienen mayor riesgo de agravar síntomas por coronavirus?




LA VUELTA A LA NORMALIDAD

En la primera jornada del nivel 1 en Nueva Zelanda, casi todos los negocios operaron hoy con normalidad y sin las restricciones de distancia física entre las personas que han marcado la vida durante la pandemia.

Uno de los aspectos clave de esta ""nueva normalidad"" es el uso de un código QR que hay que escanear con el teléfono móvil a la entrada y salida de los negocios y permite a las autoridades un rápido rastreo si surge un nuevo brote.

""Un pícaro whisky de media noche para marcar el comienzo del Nivel 1. Gracias inmensas a los muchos científicos que dieron un paso adelante y apoyaron la respuesta!, escribió en un tuit Juliet Gerrard, jefa de los consultores científicos de Ardern.

La vuelta a la normalidad permitirá a Nueva Zelanda ser el primer país en el mundo que abra sus estadios de Rugby al público sin restricciones de capacidad el próximo sábado cuando los Highlanders reciban a los Chiefs en un encuentro de la Súper Rugby Aotearoa (nombre maorí de Nueva Zelanda) que enfrenta a cinco equipos.

LA CLAVE DEL ÉXITO

El país oceánico no solo tiene una cifra baja de infecciones (1.154 casos confirmados de COVID-19, incluyendo a 22 fallecidos) sino que además espera declarar oficialmente erradicado el virus el próximo 15 de junio, cuando se cumplan 28 días desde que se dio el alta al último caso de ""infección local por fuente desconocida"".

En Nueva Zelanda, donde se han hecho un total de 296.000 pruebas para detectar el coronavirus en su población, se mantienen las fronteras cerradas a extranjeros de manera indefinida aunque se permiten las repatriaciones.

A aquellos nacionales que vuelven a su país se les aplica una cuarentena de 14 días y a partir de hoy se les someterá a dos pruebas durante ese periodo.

""Esto es para asegurarnos en parte de que se reduzcan los riesgos a los menores niveles posibles de casos importados que potencialmente provoquen una infección dentro de nuestro territorio"", precisó Bloomfield, al asegurar que su país no bajará la guardia.

El éxito de Nueva Zelanda, país aplaudido internacionalmente por su gestión de la pandemia, se atribuye a las medidas tempranas y una de las más estrictas del mundo para atajar el coronavirus cuando con 50 casos ordenó el 25 de marzo una cuarentena obligatoria.

Acompañado de un fondo de unos 29.907 millones de dólares estadounidenses o 27.678 millones de euros (16,7 % de su PIB), para impulsar el crecimiento del empleo tras la pandemia, el gobierno de Ardern dio pasos progresivos para el desconfinamiento que llevaron al país de la alerta 4 a la 1, que comienza este martes. 
",,https://www.viveusa.mx/noticias/como-logro-nueva-zelanda-dominar-al-coronavirus
"TEMIXCO.— Cuando se repartían varios telefónos celulares que habían robado durante el fin de semana dos jóvenes discutieron porque cada uno quería quedarse los mejores y al final todo terminó en un homicidio, en Morelos.
Eran alrededor de las 1:00 de este domingo, cuando en un domicilio de la calle Otilio Montaño de la colonia La Rivera, en el poblado de Acatlipa, ambos comenzaron a discutir.
El albañil Gustavo Marchan Norberto, de 26 años, tomó a la fuerza los mejores móviles y entonces su cómplice, Juan Rafael Vargas Juárez, de 19, lo enfrentó, pero el mayor no estaba dispuesto a ceder.
Así que el más joven tomó un cuchillo y lo atacó; le hizo una cortadura tan grande que parte de los intestinos se le salieron a Gustavo.
ESCAPÓ. Una vez que pudo “vencerlo” tomó todos los teléfonos y se dio a la fuga, mientras que los familiares del albañil llegaron hasta el lugar para tratar de ayudarlo.
Enseguida llamaron a emergencias y de esta forma, un grupo de paramédicos acudió hasta el sitio; sin embargo, ya no había forma de ayudar al joven.
Gustavo falleció dentro de su casa, así que el domicilio quedó asegurado por personal de la Policía Preventiva. Más tarde agentes de investigación criminal se hicieron cargo del caso.
Tomaron datos de lo sucedido y se abrió una expediente para tratar de resolver este crimen. 
",,https://www.elgrafico.mx/la-roja/asaltantes-se-pelean-los-telefonos-robados-y-uno-le-saca-los-intestinos-al-otro-en-morelos
