body,title,url
"    Por su fomento de la lectura y su apoyo a la industria editorial, la Feria del Libro de Guadalajara (México) y el Hay Festival de literatura (Gales) consiguieron este martes en España el Premio Princesa de Asturias de Comunicación y Humanidades. Ambas citas anuales comparten el galardón “por representar los más importantes puntos de encuentro del libro, los escritores, los lectores y la cultura en el mundo”, explicó en su fallo el jurado, que se reunió por videoconferencia debido a la pandemia del...    ", Premio Princesa de Asturias para el Hay y la Feria del Libro de Guadalajara ,https://www.elcolombiano.com/cultura/princesa-de-asturias-al-hay-festival-y-a-la-feria-del-libro-de-guadalajara-CH13142415
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/antioquia/seguridad
"    La Alcaldía de Medellín anunció una nueva modificación en su gabinete municipal, esta vez para el caso del Departamento Administrativo de Gestión del Riesgo de Desastres (Dagrd). Se trata de Alethia Arango Gil, quien será la nueva directora del Dagrd, en reemplazo de Ricardo Mora Díez.   Podría leer: “Lo más difícil aún está por llegar y cada día nos preparamos”: Quintero  Arango Gil es abogada, especialista en Derecho Administrativo de la Universidad de Medellín y en Servicios Públicos Domiciliarios...    ", Otro cambio en el gabinete de Medellín: Dagrd tiene nueva directora ,https://www.elcolombiano.com/antioquia/nueva-directora-del-dagrd-alethia-arango-gil-otro-cambio-en-gabinete-de-daniel-quintero-IH13143597
"    Un caso de hurto por raponazo a una ciudadana en Itagüí, sur del Aburrá, terminó con un cerco epidemiológico que implicó tanto al presunto ladrón como a los agentes de la policía que lo pusieron tras las rejas.  Así lo confirmaron las autoridades policiales del Valle de Aburrá al detallar que los hechos que desencadenaron la investigación ocurrieron el pasado fin de semana: “Ocurrió en la zona industrial de Itagüí donde un sujeto hurta un celular a una señora y posteriormente es capturado por la policía....    ", La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,https://www.elcolombiano.com/antioquia/seguridad/captura-en-itagui-de-persona-con-coronavirus-KH13147739
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/internacional
"    El procurador general, Fernando Carrillo, denunció ante la Fiscalía General el reclutamiento ilícito, uso de menores de edad en la comisión de delitos, lesiones y homicidios de personas protegidas, actos de terrorismo, tortura y desplazamiento forzado del que han sido víctimas varios niños, adolescentes y familias campesinas e indígenas, en medio de la pandemia. El documento presentado por el procurador da cuenta de que los responsables de tales hechos son el Ejército de Liberación Nacional (Eln),...    ", Procurador denunció reclutamiento de menores de edad en pandemia ,https://www.elcolombiano.com/colombia/procurador-denuncio-reclutamiento-de-menores-de-edad-durante-pandemia-DH13146555
"    Un mensaje de rechazo y de la imperiosa necesidad de trabajar juntos para garantizar los derechos de los niños, niñas y adolescentes del departamento realizó este martes el gobernador de Antioquia (e) Luis Fernando Suárez.  Esto luego de que las autoridades registraran cinco muertes violentas, en diferentes municipios del departamento, que tuvieron como denominador común que las víctimas era población infantil o adolescente vulnerable:  “Por respeto a las víctimas y a sus padres, no voy a entrar en...    ", Gobernación de Antioquia alerta por muertes violentas de menores de edad  ,https://www.elcolombiano.com/antioquia/gobernacion-de-antioquia-alerta-por-muertes-violentas-de-menores-de-edad-GH13144727
"    José Andrés Romero, director de la Dirección de Impuestos y Aduanas Nacionales (Dian), sostuvo que las medidas tributarias implementadas por el Gobierno durante la emergencia, para beneficiar a los contribuyentes, suman alrededor de 10 billones de pesos. En su intervención en el programa “Prevención y Acción” de la Presidencia de la República, el funcionario comentó que la intención ha sido salvar a las empresas, al sector económico y particularmente en salvar los puestos de trabajo. Le puede interesar:...    ", Beneficios a contribuyentes suman $10 billones: Dian  ,https://www.elcolombiano.com/negocios/economia/dian-presenta-balance-de-acciones-para-favorecer-a-contribuyentes-JH13147718
"    Un fiscal de la Dirección Especializada de Extinción del Derecho de Dominio impuso medidas cautelares de embargo, secuestro y suspensión del poder dispositivo sobre siete inmuebles y lotes por más de 35.000 millones de pesos de Alex Saab. Estos bienes, ubicados en sectores exclusivos de Barranquilla, harían parte del patrimonio ilícito que constituyó el empresario a través de operaciones financieras irregulares según informó la Fiscalía este martes en un comunicado. Entre los predios están: una mansión...    ", Extinción de dominio a bienes por 35.000 millones del empresario Alex Saab ,https://www.elcolombiano.com/colombia/extincion-de-dominio-a-bienes-del-empresario-alex-saab-JH13141080
"    Militares y Policía tratan de establecer el paradero de la cabo primero del Ejército, Nubia Alejandra López Correa, quien desapareció en extrañas circunstancias el pasado domingo cuando fue a visitar una amiga en el barrio Las Flores, en Saravena (Arauca). Según el reporte de los militares conocido por EL COLOMBIANO, López regresaba en su motocicleta cuando fue interceptada por tres hombres que también se movilizaban en motos y le pidieron que los acompañara. Desde ese momento se desconoce la situación...    ", Denuncian desaparición de mujer militar en Arauca ,https://www.elcolombiano.com/colombia/paz-y-derechos-humanos/secuestran-a-mujer-militar-en-arauca-FH13142351
